model,params,roc_auc,f1,run_id
xgb,"{'model': 'xgb', 'max_depth': 4, 'learning_rate': 0.05, 'n_estimators': 400}",0.911011358390051,0.6640644242352731,2025-10-17 22:32:01.099133
xgb,"{'model': 'xgb', 'max_depth': 6, 'learning_rate': 0.1, 'n_estimators': 600}",0.9814330868348824,0.8336387321019277,2025-10-17 22:32:01.099133
cat,"{'model': 'cat', 'depth': 6, 'learning_rate': 0.05, 'iterations': 800}",0.9682198199930504,0.8207342121120063,2025-10-17 22:32:01.099133
cat,"{'model': 'cat', 'depth': 8, 'learning_rate': 0.03, 'iterations': 1000}",0.9738742448845592,0.8391530157388433,2025-10-17 22:32:01.099133
xgb,"{'model': 'xgb', 'max_depth': 4, 'learning_rate': 0.05, 'n_estimators': 400}",0.911011358390051,0.6640644242352731,2025-10-17 22:42:22.955363
xgb,"{'model': 'xgb', 'max_depth': 6, 'learning_rate': 0.1, 'n_estimators': 600}",0.9814330868348824,0.8336387321019277,2025-10-17 22:42:22.955363
cat,"{'model': 'cat', 'depth': 6, 'learning_rate': 0.05, 'iterations': 800}",0.9682198199930504,0.8207342121120063,2025-10-17 22:42:22.955363
cat,"{'model': 'cat', 'depth': 8, 'learning_rate': 0.03, 'iterations': 1000}",0.9738742448845592,0.8391530157388433,2025-10-17 22:42:22.955363
xgb,"{'model': 'xgb', 'max_depth': 4, 'learning_rate': 0.05, 'n_estimators': 400}",0.911011358390051,0.6640644242352731,2025-10-17 22:49:46.598319
xgb,"{'model': 'xgb', 'max_depth': 6, 'learning_rate': 0.1, 'n_estimators': 600}",0.9814330868348824,0.8336387321019277,2025-10-17 22:49:46.598319
cat,"{'model': 'cat', 'depth': 6, 'learning_rate': 0.05, 'iterations': 800}",0.9682198199930504,0.8207342121120063,2025-10-17 22:49:46.598319
cat,"{'model': 'cat', 'depth': 8, 'learning_rate': 0.03, 'iterations': 1000}",0.9738742448845592,0.8391530157388433,2025-10-17 22:49:46.598319
