Feature,Importance
country_CA,188.6100616455078
country_AU,178.42759704589844
country_IN,174.5797119140625
industry_EdTech,168.0099334716797
country_UK,160.12266540527344
referral_source_partner,159.3638916015625
account_seats,158.0170440673828
industry_HealthTech,155.6351776123047
feedback_text_nan,147.118896484375
feedback_text_too expensive,142.82386779785156
referral_source_other,138.88938903808594
industry_Cybersecurity,138.82749938964844
industry_DevTools,138.1566162109375
referral_source_ads,137.59117126464844
referral_source_event,134.88006591796875
feedback_text_missing features,133.0055389404297
country_US,128.95021057128906
industry_FinTech,128.29234313964844
country_FR,123.63298034667969
referral_source_organic,121.70846557617188
account_is_trial,113.86068725585938
feedback_text_switched to competitor,111.21078491210938
country_DE,103.50157165527344
first_response_time_minutes,73.65052795410156
priority_medium,70.47261047363281
priority_urgent,63.28175354003906
priority_low,62.15138626098633
satisfaction_score,61.87062072753906
resolution_time_hours,60.40822219848633
priority_high,51.66208267211914
mrr_amount,41.892608642578125
arr_amount,23.190654754638672
billing_frequency_annual,20.2930965423584
feature_name_feature_1,11.457695960998535
feature_name_feature_37,10.921377182006836
feature_name_feature_12,10.32154369354248
feature_name_feature_15,10.293416023254395
feature_name_feature_28,8.68359375
feature_name_feature_30,8.496468544006348
feature_name_feature_3,8.441594123840332
billing_frequency_monthly,8.075033187866211
feature_name_feature_17,7.919341087341309
feature_name_feature_23,7.547354221343994
feature_name_feature_34,7.542178630828857
usage_level,7.423649311065674
feature_name_feature_2,7.353834629058838
feature_name_feature_19,7.227579593658447
feature_name_feature_24,6.562042236328125
feature_name_feature_33,6.398166656494141
feature_name_feature_18,6.285394668579102
usage_duration_secs,6.232038497924805
is_beta_feature,6.152693748474121
feature_name_feature_36,6.065431594848633
feature_name_feature_35,5.958185195922852
feature_name_feature_21,5.832437038421631
feature_name_feature_38,5.310984134674072
feature_name_feature_25,4.8972320556640625
feature_name_feature_8,4.80913782119751
error_count,4.745856761932373
feature_name_feature_13,4.67765998840332
feature_name_feature_39,4.483161926269531
feature_name_feature_22,4.446067810058594
usage_count,4.393308162689209
feature_name_feature_11,4.051711082458496
feature_name_feature_27,3.305649757385254
feature_name_feature_4,2.6190192699432373
feature_name_feature_7,1.7713667154312134
feature_name_feature_9,1.524078369140625
feature_name_feature_5,1.1126298904418945
feature_name_feature_40,0.5463333129882812
feature_name_feature_26,0.049739837646484375
